Quarter,Bills,2-3 Years,4-9 Years,10-15 Years,Bonds,TIPS
2000-03-31,82.0,10.7,3.5,2.4,0.0,1.4
2000-06-30,83.3,9.1,2.4,2.1,1.9,1.1
2000-09-30,82.7,11.1,3.7,2.6,0.0,0.0
2000-12-31,85.8,6.5,2.8,2.7,1.2,1.1
2001-03-31,86.6,7.9,2.8,1.8,0.0,0.9
2001-06-30,86.3,7.2,2.0,1.9,1.7,1.0
2001-09-30,88.3,7.0,2.7,1.9,0.0,0.0
2001-12-31,87.9,7.2,1.7,1.8,0.8,0.7
2002-03-31,83.1,12.4,2.2,1.7,0.0,0.6
2002-06-30,87.9,7.7,2.0,1.6,0.0,0.7
2002-09-30,86.6,9.8,2.4,1.1,0.0,0.0
2002-12-31,81.5,13.2,2.5,1.9,0.0,1.0
2003-03-31,84.7,10.3,2.4,1.9,0.0,0.7
2003-06-30,84.9,10.0,2.6,1.9,0.0,0.6
2003-09-30,84.3,11.0,3.1,1.7,0.0,0.0
2003-12-31,80.5,11.6,3.6,3.2,0.0,1.1
2004-03-31,80.2,11.5,4.6,2.8,0.0,0.8
2004-06-30,80.7,11.3,4.4,2.5,0.0,1.1
2004-09-30,81.4,11.1,4.3,2.4,0.0,0.8
2004-12-31,83.2,9.5,3.8,2.0,0.0,1.7
2005-03-31,81.8,10.1,4.1,2.2,0.0,1.8
2005-06-30,82.1,10.0,4.0,2.1,0.0,1.8
2005-09-30,80.6,10.9,4.5,2.3,0.0,1.7
2005-12-31,83.2,9.4,3.9,2.1,0.0,1.4
2006-03-31,85.7,6.9,3.9,2.1,0.0,1.4
2006-06-30,80.1,11.0,4.1,1.9,1.3,1.8
2006-09-30,80.8,10.2,5.0,2.2,0.0,1.8
2006-12-31,85.1,7.0,3.1,2.1,1.1,1.7
2007-03-31,82.8,8.8,4.6,2.1,0.0,1.7
2007-06-30,83.5,7.7,4.2,2.0,0.9,1.8
2007-09-30,82.0,8.5,4.8,2.5,0.7,1.6
2007-12-31,85.3,5.7,4.1,2.4,1.2,1.3
2008-03-31,82.2,8.3,5.4,2.4,0.7,1.1
2008-06-30,84.3,6.8,4.2,2.3,1.0,1.5
2008-09-30,82.5,7.8,5.0,2.7,0.7,1.2
2008-12-31,86.3,6.0,4.1,2.1,0.8,0.8
2009-03-31,84.4,7.5,4.9,2.2,0.5,0.6
2009-06-30,78.1,10.4,6.9,2.7,1.2,0.8
2009-09-30,75.5,10.9,8.8,2.9,1.3,0.7
2009-12-31,73.9,11.2,9.4,3.0,1.8,0.7
2010-03-31,70.3,12.6,11.0,3.4,2.1,0.7
2010-06-30,65.1,14.7,12.8,4.0,2.5,1.0
2010-09-30,72.4,11.5,10.0,3.2,2.0,0.9
2010-12-31,76.6,9.2,8.4,2.8,1.8,1.2
2011-03-31,74.1,9.967,9.6,3.24,2.1,0.978
2011-06-30,73.3,10.0,9.7,3.25,2.07,1.66
2011-09-30,69.75,11.4,11.1,3.65,2.3,1.8
2011-12-31,70.49,11.0,10.6,3.6,2.3,2.0
2012-03-31,74.3,9.9,7.6,3.9,2.5,1.8
2012-06-30,71.8,10.6,9.84,3.6,2.3,1.88
2012-09-30,69.8,11.4,10.45,3.9,2.48,1.95
2012-12-31,72.3,10.2,9.8,3.4,2.1,2.1
2013-03-31,69.8,11.2,12.2,3.1,2.0,1.6
2013-06-30,77.7,8.4,6.5,3.4,2.1,1.9
2013-09-30,71.2,10.7,10.3,3.5,2.2,2.0
2013-12-31,69.11,11.2,12.36,3.19,2.03,2.12
2014-03-31,73.15,9.57,9.88,3.39,2.16,1.85
2014-06-30,67.6,10.7,11.1,3.8,2.4,2.1
2014-09-30,67.5,10.5,11.2,3.8,2.4,2.2
2014-12-31,69.4,9.3,10.63,3.65,2.32,2.44
2015-03-31,69.5,9.2,10.9,3.7,2.4,2.0
2015-06-30,69.21,8.75,11.2,3.85,2.45,2.16
2015-09-30,69.47,9.17,10.87,3.74,2.38,2.04
